img,mcc,f_0,f_1,f_2
18H007_73300_8775_25_0049,0.11874439137090614,0.9985275645918349,0.0,0.0
18H007_73300_8775_25_0059,,0.9985960316363541,,0.0
18H007_73300_8775_25_0070,0.4575900480698912,0.9966622068868389,0.4514344970618735,0.0
18H007_73300_8775_25_0080,0.8120506248630374,0.9989419057811522,0.8130495141138362,0.0
18H007_73300_8800_25_0071,0.7319761228447033,0.998677730526714,0.7155202212236432,0.0
18H007_73300_8800_25_0062,0.9032616341642857,0.9998778458414519,0.9033280507131537,
18H007_73300_8800_25_0072,0.836564079854455,0.9980777091148963,0.8919963201471941,0.0
18H007_73300_8800_25_0081,0.7113189315103332,0.992990179686907,0.7125597989134842,0.0
18H007_73300_8800_25_0091,0.12478269648739963,0.9983323244430725,0.008714596949891068,0.0
18H007_73300_8800_25_0082,0.9146338527518715,0.9996727466195529,0.9148825065274151,
18H007_73300_8800_25_0092,0.3839501631388383,0.9959029373377364,0.3158839365839067,0.0
18H007_73300_8775_25_0090,0.7331261976318844,0.9988168770777467,0.7279445727482678,
18H007_73300_8775_25_0100,0.6774840567986096,0.9973692009023338,0.6698709840627372,
18H007_73300_8775_25_0097,0.8881472295233247,0.9980502299833109,0.8893764434180138,
18H007_73300_8775_25_0098,0.5621448135644013,0.9940380149930258,0.5121749213185357,
18H007_73300_8800_25_0093,0.3062106142958096,0.9967291288465907,0.2558922558922559,0.0
18H007_73300_8800_25_0063,0.7206156554743758,0.9970608449565393,0.8231323132313232,0.0
18H007_73300_8800_25_0043,0.400259939974334,0.9986469936198232,0.46531483457844186,0.0
18H007_73300_8800_25_0053,0.8896027637676828,0.999538070984431,0.8898467432950191,
18H007_73300_8800_25_0044,0.703421523989545,0.9965894057150717,0.7404078810922917,0.6430379746835443
18H007_73300_8800_25_0054,0.2974812869894251,0.9994633495796906,0.0,0.0
18H007_73300_8800_25_0033,0.6498925330869229,0.9995093159864852,0.648493543758967,
18H007_73300_8800_25_0024,0.7829597715995094,0.999633402445987,0.7754601226993865,
18H007_73300_8800_25_0034,0.7137500598909099,0.9900215554280958,0.7175098188639428,
18H005_73050_8150_25_0013,0.3230377394980404,0.9889372923326096,0.0,0.46780662866793327
18H005_73050_8150_25_0004,0.26375561979520296,0.9881854844438491,0.0,0.5516213194185613
18H005_73050_8150_25_0014,0.20524592782155993,0.9885343694715655,0.0,0.29980879541108985
18H005_73075_8150_25_0083,0.91797647631347,0.9983675668175307,0.9194684920475136,
18H005_73075_8150_25_0093,0.8995439200213112,0.9980481457384516,0.9013096834072394,
18H005_73075_8150_25_0084,0.9545788442844791,0.9995434140507254,0.9549980087614496,
18H005_73075_8150_25_0094,0.9200943293022855,0.9991121466030001,0.9208866462425662,
18H005_73075_8150_25_0091,0.918527760628311,0.9994867862555321,0.9185563717662089,
18H005_73075_8150_25_0082,0.9416580635195612,0.9990381467344777,0.9426040529062008,
18H005_73075_8150_25_0092,0.9141619424875493,0.9973545846986868,0.9166883285677151,
18H005_73075_8150_25_0085,0.9177417640925062,0.998100338172558,0.9192481726418378,
18H005_73075_8150_25_0095,0.9281545759236257,0.9968038144914674,0.9313491885087444,
18H005_73075_8150_25_0086,0.8794878347769541,0.9994172213112119,0.8783557046979866,
18H005_73075_8150_25_0096,0.8961472984886354,0.998900370316467,0.897125567322239,
18H005_73075_8150_25_0065,0.7118143004766417,0.9980519846412673,0.6861219195849546,
18H005_73075_8150_25_0075,0.6151121479902623,0.998659356009216,0.6356033452807647,0.0
18H005_73075_8150_25_0066,0.8458629691978787,0.9981418898359751,0.8417056074766355,0.0
18H005_73075_8150_25_0076,0.6565998023861228,0.9955681947077601,0.6524777636594663,
18H005_73075_8150_25_0063,0.9065427495299841,0.9975479223056923,0.9086177866217664,
18H005_73075_8150_25_0073,0.936975057929692,0.9994084476900185,0.9375665885361176,
18H005_73075_8150_25_0064,0.8813997080367545,0.9995482861978345,0.8813916710595677,
18H005_73075_8150_25_0074,0.9553396411266336,0.9995657837603127,0.9557157569515963,
18H005_73075_8150_25_0061,0.8389933385035065,0.9990949534604957,0.8464880521361332,0.0
18H005_73075_8150_25_0062,0.9017205286382031,0.9988976960836861,0.9023472495968464,
18H005_73075_8150_25_0072,0.9442620697979729,0.9994220143809289,0.9447663190421012,
18G001_72525_7700_25_0029,0.7466108916961287,0.999121000854917,0.7329780935464772,0.0
18G001_72525_7700_25_0039,0.6137784103966925,0.9935094425696661,0.5005382131324004,0.6539996199885997
18G001_72525_7700_25_0030,0.8901612150997923,0.9985036314310393,0.891566265060241,
18G001_72525_7700_25_0040,0.7627756812995293,0.9974956998397168,0.795131845841785,0.04361370716510903
18G001_72525_7700_25_0009,0.8669705963076795,0.9976591760299626,0.8681192660550459,
18G001_72525_7700_25_0019,0.7806934206124837,0.9981282775312627,0.7790476190476191,
18G001_72525_7700_25_0010,0.9316933886115066,0.9983585561031589,0.9333333333333333,
18G001_72525_7700_25_0020,0.9135732090485866,0.9980897842315165,0.9154751131221719,
18G001_72525_7700_25_0007,0.9219999917568921,0.9992059531290094,0.9224393132030787,
18G001_72525_7700_25_0017,0.8758040295525787,0.9987107568948236,0.8757788161993769,
18G001_72525_7700_25_0008,0.8025954661522086,0.9965913698292425,0.8274567076987273,0.7405553026854802
18G001_72525_7700_25_0018,0.5899317454267133,0.9960077582026831,0.5913978494623656,0.5513963161021984
18G001_72525_7700_25_0027,0.8500307165843682,0.9986177908903529,0.8489779718198055,0.0
18G001_72525_7700_25_0028,0.7287766367083583,0.9959984767738559,0.6683354192740926,0.6806661839246922
18G001_72525_7700_25_0038,0.7964198962397554,0.9969555139701316,0.8114488049572145,0.4962121212121212
